"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"GPR143",0,3,2,0,2,0,1,1,1,1,1,1,0,1,2,3,0,5,28,13,1,0,0,1,0,0,2,0,0,0,15,0
"GPR143-2",0,3,4,0,2,0,1,1,1,1,0,1,0,1,1,4,0,5,25,14,1,0,0,1,1,0,1,0,0,0,20,0
"GPR146",29,176,28,31,119,144,45,67,20,3,17,45,216,1,87,194,26,45,150,164,102,0,4,7,14,50,4,17,49,2,59,71
"GPR15",0,0,5,15,2,1,1,0,23,1,3,0,0,3,23,0,0,0,0,0,7,5,0,3,0,0,0,0,0,3,0,0
"GPR153",5,36,16,13,42,73,19,73,0,0,0,23,56,0,30,61,0,105,17,71,3,0,0,0,0,9,0,5,31,0,26,3
"GPR155",14,36,23,14,11,14,8,10,1,1,4,19,21,0,20,21,4,5,21,7,24,0,0,0,1,10,0,5,2,2,10,19
"GPR156",22,14,0,0,2,27,0,2,0,0,0,14,3,0,2,2,0,2,1,6,1,0,0,0,0,1,0,0,0,0,0,1
"GPR157",1,16,5,6,58,20,180,41,0,1,0,1,29,0,10,151,0,16,6,26,8,0,0,0,0,33,0,132,15,0,4,3
"GPR160",0,1,7,46,5,6,0,2,30,18,45,0,2,11,120,6,41,4,36,10,0,1,7,18,19,0,8,0,0,8,19,2
"GPR161",0,54,15,8,24,22,4,12,2,1,2,2,36,1,15,34,9,3,1,25,6,0,1,0,1,4,2,1,10,1,0,1
