"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"LOC100737183",33,0,5,3,11,1,0,0,0,0,0,53,1,0,1,1,0,2,292,45,0,0,0,0,0,0,0,0,1,0,45,0
"LOC100737186",3,31,10,6,4,5,4,7,26,6,3,0,22,0,7,11,10,8,42,21,4,0,4,3,4,1,2,0,2,5,3,6
"LOC100737217",0,8,0,0,1,1,0,0,3,2,14,0,3,0,3,1,30,0,0,4,0,1,4,4,5,1,8,0,0,1,0,0
"LOC100737218",9,48,34,34,46,62,15,28,24,26,17,22,56,5,56,85,50,7,54,74,26,4,7,16,7,20,20,2,10,7,33,13
"LOC100737304",0,26,17,7,5,14,1,3,0,0,0,3,14,0,16,15,0,3,5,20,5,0,0,0,0,3,0,3,3,0,3,5
"LOC100737336",5,8,0,5,4,3,0,2,3,0,2,2,4,3,8,12,8,0,44,16,0,0,0,3,1,0,1,1,1,2,4,0
"LOC100737369",0,0,0,0,0,0,0,0,12,5,12,0,0,8,0,0,5,0,0,0,0,0,2,2,8,0,3,0,0,2,0,0
"LOC100737404",0,6,0,0,2,2,1,0,67,2,1,0,1,0,0,5,115,2,3,1,0,0,1,1,1,3,23,4,2,14,1,0
"LOC100737436",1,24,5,19,18,16,15,7,0,0,0,5,18,0,26,25,0,18,4,21,2,0,0,0,0,4,0,6,7,0,3,4
"LOC100737472",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,7,0,0,0,1,0,1,0,0,0,0,13,0
"LOC100737483",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,124,0,0,0
"LOC100737511",2,51,45,21,15,34,18,11,0,0,1,3,39,0,42,29,0,16,29,41,27,0,0,0,0,11,0,2,9,0,23,19
"LOC100737533",0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,1,12,0,0,0,0,0,1,10,2,0,2,0,1,1,0,0
"LOC100737553",8,34,16,7,6,10,2,6,0,0,0,7,21,0,9,5,0,2,3,14,3,0,0,0,0,2,0,1,2,0,5,6
"LOC100737582",2,40,15,8,33,21,10,4,0,0,0,1,28,0,9,38,1,8,9,25,10,0,0,0,0,8,0,3,6,0,10,9
"LOC100737585",5,50,48,29,52,58,22,31,0,0,0,15,53,0,49,70,1,23,45,99,45,0,0,0,0,18,0,8,8,0,37,27
"LOC100737600",35,99,40,24,30,41,26,25,0,0,0,33,78,0,42,55,0,9,132,94,28,0,0,0,0,13,0,19,11,0,31,19
"LOC100737660",8,101,30,20,53,56,15,32,0,0,0,3,142,0,40,190,2,39,83,127,75,0,0,0,0,22,0,3,30,0,38,24
"LOC100737676",1,0,1,12,1,18,1,1,0,0,0,0,1,0,29,0,0,0,6,29,0,0,0,0,0,1,0,0,0,0,11,0
"LOC100737756",6,43,54,26,48,39,23,7,0,0,0,20,34,0,34,63,0,12,51,47,36,0,0,0,0,22,0,5,2,0,19,14
"LOC100737763",0,0,0,0,0,0,0,0,15,4,4,0,0,2,0,0,4,0,0,0,0,4,5,22,5,0,1,0,0,7,0,0
"LOC100737764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,266,40,0,0,0,0,0,0,0,0,1,0,64,1
"LOC100737768",712,747,41,17,353,654,104,144,4,2,1,64,384,0,25,1048,5,217,24,1819,3948,1,0,2,1,91,0,10,134,2,22,29902
"LOC100737802",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,6,13,0
"LOC100737817",6,13,11,11,6,10,2,4,0,0,1,11,12,0,17,13,0,0,16,20,2,0,0,0,0,0,0,1,2,0,10,8
"LOC100737821",3,18,12,9,30,37,24,18,0,0,2,3,33,0,17,49,1,3,74,63,23,0,0,0,0,19,0,4,10,0,41,19
"LOC100737875",77,0,1,0,1,0,1,0,0,0,0,54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100737897",47,0,0,0,0,0,1,1,27,3,0,53,0,0,11,2,4,4,1547,397,7,6,0,0,0,1,2,0,10,7,464,7
"LOC100737900",0,1,4,4,5,3,0,1,0,0,0,0,3,0,11,36,0,0,3,2,2,0,0,0,0,2,0,0,0,0,0,0
"LOC100737912",0,20,18,4,32,8,9,13,0,0,0,0,9,0,13,78,0,12,5,24,9,0,0,0,0,12,0,0,3,0,7,8
"LOC100737967",0,0,0,0,0,0,0,0,13,3,3,0,0,1,0,0,12,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0
"LOC100737977",5,58,55,41,46,83,19,29,1,0,3,2,60,0,49,53,11,15,53,74,32,0,1,0,0,26,1,3,23,0,22,25
"LOC100738003",184,6,26,17,59,65,10,7,0,3,1,227,1,0,46,63,4,6,99,159,47,0,0,0,1,6,1,0,0,0,44,26
"LOC100738050",2,23,11,3,9,10,2,7,0,0,0,4,16,0,15,17,0,0,3,9,9,0,0,0,0,4,0,1,1,1,6,1
"LOC100738114",4,8,5,5,10,9,5,1,0,0,0,2,7,0,7,16,0,4,6,14,1,0,0,0,0,4,0,4,2,0,2,2
"LOC100738133",0,0,1,1,0,0,0,0,2,1,4,0,0,13,0,4,16,1,2,0,0,0,0,6,2,1,0,0,0,0,0,0
"LOC100738134",0,21,19,6,5,16,9,4,0,1,1,3,9,0,14,18,0,1,16,16,17,0,0,0,0,2,0,0,1,0,3,6
"LOC100738154",0,2,0,0,5,0,0,3,2,0,3,0,10,0,2,15,0,0,6,3,1,10,0,0,0,1,0,0,0,1,2,0
"LOC100738212",0,0,0,0,0,0,0,0,40,24,44,0,0,24,1,0,107,0,0,0,0,2,15,22,20,0,9,0,0,12,0,0
"LOC100738387",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,0,0,0,0,0,2,7,16,0,10,0,0,5,0,0
"LOC100738403",1,13,8,12,17,9,10,11,1,1,1,5,10,2,27,31,2,4,34,20,7,0,0,2,0,16,4,2,3,3,11,8
"LOC100738425",0,0,30,139,50,2,1,0,0,0,0,0,0,0,225,10,0,1,17,4,0,0,0,0,0,1,0,0,0,0,17,0
"LOC100738475",3,1,7,5,22,7,1,1,5,3,3,1,3,0,2,31,7,1,2,34,4,0,3,1,3,6,3,0,1,2,8,3
"LOC100738479",11,13,449,93,12,40,4,10,0,0,2,8,34,0,109,22,1,7,11,57,98,0,0,0,0,2,0,4,6,0,21,47
"LOC100738642",31,79,48,25,58,51,33,17,0,0,0,41,45,0,37,128,0,14,113,73,14,0,0,0,0,23,0,8,4,0,34,20
"LOC100738647",15,97,10,11,22,30,59,50,0,0,1,15,112,0,53,50,0,21,38,155,29,1,0,0,0,9,0,27,25,0,14,41
"LOC100738653",7,51,13,31,23,16,9,27,3,0,2,12,59,0,61,34,2,11,29,34,11,0,0,0,0,20,0,1,13,0,15,13
"LOC100738684",8,36,28,23,46,22,20,13,0,0,0,21,47,0,45,102,0,5,46,89,15,0,0,0,0,12,0,15,9,0,24,11
"LOC100738720",0,0,0,0,0,49,1,2,0,0,0,0,1,0,1,2,1,0,5,12,5,0,0,0,0,0,0,0,0,0,6,31
"LOC100738744",13,256,409,288,164,139,65,83,131,62,682,20,260,1183,440,229,925,58,57,197,166,18,55,502,524,51,114,15,69,41,66,96
"LOC100738812",3,7,6,2,28,4,0,3,37,23,7,3,3,15,1,123,52,0,1,1,1,3,7,44,24,45,19,0,0,22,5,1
"LOC100738817",0,0,0,0,0,0,0,0,11,4,6,0,0,1,0,0,14,0,0,0,0,0,1,2,4,0,0,0,0,2,0,0
"LOC100738822",1,19,9,4,11,7,12,6,0,0,0,0,12,0,11,19,0,0,7,14,4,0,0,0,0,2,0,7,1,1,4,2
"LOC100738859",32,316,224,193,193,108,117,112,0,0,1,50,306,1,462,282,0,92,83,236,137,0,0,0,0,60,1,66,94,0,83,88
"LOC100738906",4,40,15,7,32,13,8,9,0,0,0,3,36,0,17,44,0,3,7,7,14,0,0,0,0,14,0,2,7,0,10,9
"LOC100738955",2,29,29,13,21,37,3,4,1,0,1,1,31,0,31,29,3,8,60,93,24,0,0,0,1,3,2,3,9,0,37,6
"LOC100739062",1,5,3,2,15,4,18,3,0,0,4,1,5,0,6,39,1,2,5,10,3,0,0,0,1,3,0,5,0,0,2,4
"LOC100739087",8,32,38,27,22,31,21,9,0,0,0,15,15,0,63,62,0,8,16,22,31,0,0,0,0,14,0,5,0,0,14,11
"LOC100739098",4,51,14,8,20,21,24,20,0,0,0,5,34,0,16,48,3,5,16,34,2,0,1,0,0,6,0,14,4,0,4,4
"LOC100739101",33,82,12,17,50,17,12,44,0,0,0,65,100,0,21,89,0,18,524,209,5,0,0,0,0,78,0,12,25,0,204,1
"LOC100739121",3,33,10,7,12,15,9,7,37,1,33,0,39,24,20,24,41,4,52,28,7,0,0,13,28,5,3,1,3,10,7,1
"LOC100739163",3,208,59,133,55,121,40,62,0,0,1,4,201,0,291,111,1,28,220,333,20,0,0,0,0,26,1,19,61,0,60,35
"LOC100739218",0,0,14,7,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100739325",4,4,79,49,10,32,2,3,0,0,0,1,5,0,102,5,1,9,11,28,84,0,0,0,0,0,0,0,0,0,3,38
"LOC100739365",2,18,20,12,64,14,44,9,4,4,1,6,11,0,30,97,9,0,17,7,8,2,1,0,1,30,1,4,2,1,13,5
"LOC100739396",2,26,20,19,39,22,16,14,29,2,1,8,27,5,43,54,17,13,56,37,25,3,0,2,0,15,3,10,6,5,18,12
"LOC100739425",0,53,16,10,24,43,15,9,0,0,0,3,22,0,15,18,0,12,15,27,6,0,0,0,0,4,0,0,7,0,11,9
"LOC100739480",0,5,4,4,11,3,1,3,0,0,0,0,4,0,2,13,0,1,1,6,2,0,0,0,0,1,0,0,0,0,2,1
"LOC100739508",0,3,2,6,3,10,0,4,1,0,0,0,11,1,26,1,0,1,7,14,4,0,4,0,0,0,0,0,0,0,4,0
"LOC100739518",1,7,4,6,7,5,1,2,0,0,0,2,18,0,8,15,0,2,15,19,6,0,0,0,0,6,0,3,2,0,9,2
"LOC100739557",0,12,13,12,30,11,16,14,0,0,0,1,22,0,26,51,0,6,19,40,10,0,0,0,0,12,0,3,4,0,13,3
"LOC100739561",0,1,11,29,6,1,0,1,0,0,1,0,1,0,103,3,0,1,1,1,3,0,0,0,0,1,0,0,0,0,3,0
"LOC100739565",2,0,9,2,0,0,1,1,9,30,63,1,3,12,2,3,40,0,1,10,4,94,6,15,14,0,14,0,2,2,2,6
"LOC100739603",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,96,23,0,0,0,0,0,0,0,0,2,0,15,0
"LOC100739639",1,0,0,0,0,94,4,0,0,0,0,0,0,0,2,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100739663",274,0,1,0,2,2,0,2,1,0,0,363,0,0,4,6,0,1,314,46,2,0,0,0,0,1,0,0,3,0,21,0
"LOC100739688",2,3,2,10,3,4,0,3,0,0,0,1,7,0,12,8,0,1,8,8,2,0,0,0,0,1,0,0,1,0,5,2
"LOC100739707",0,2,0,0,5,4,1,1,0,0,0,1,6,0,4,0,0,0,0,1,38,0,0,0,0,0,0,1,0,0,0,24
"LOC100739719",24,42,6,16,9,10,2,2,0,0,0,50,25,0,17,17,0,5,26,28,3,0,0,0,0,4,0,1,4,0,8,3
"LOC100739735",0,0,0,0,0,0,0,0,36,2,4,0,0,4,0,0,23,0,0,0,0,2,2,4,3,0,3,0,0,8,0,0
"LOC100739741",2067,3,0,2,16,0,0,6,0,0,0,4737,5,0,11,89,0,4,2830,417,1,0,0,0,0,3,0,0,4,2,309,1
"LOC100739755",4,13,12,5,63,8,32,4,24,4,14,8,11,1,9,66,24,1,12,10,6,1,1,7,4,21,8,13,3,8,4,4
"LOC100739791",13,35,21,17,15,18,3,9,0,1,0,13,27,0,29,26,0,9,21,37,11,0,0,0,0,6,0,2,14,0,11,9
"LOC102157424",9,76,110,38,90,73,48,55,44,64,106,4,138,31,49,139,166,27,84,110,41,9,19,29,28,18,27,16,25,15,25,7
"LOC102157465",0,3,11,4,1,2,0,1,15,1,3,0,1,4,3,1,19,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
"LOC102157481",5,8,12,12,4,10,0,2,8,1,6,6,24,0,21,13,15,8,17,15,8,0,1,1,1,2,6,3,4,1,4,3
"LOC102157484",3,5,4,0,18,2,1,3,55,77,65,1,4,61,1,54,55,1,4,5,2,5,1,136,53,6,4,1,1,23,5,1
"LOC102157527",0,0,2,4,1,2,0,0,25,7,322,0,0,68,0,2,178,0,1,0,1,2,9,58,89,1,28,0,0,5,0,3
"LOC102157535",8,21,17,9,18,5,16,8,0,0,0,6,13,0,12,17,0,6,5,13,6,0,0,0,0,6,0,3,2,0,6,3
"LOC102157546",72,4,7,4,6,10,4,4,0,0,0,124,4,0,11,7,0,3,67,148,0,0,0,0,0,0,0,1,3,0,66,0
"LOC102157559",2,2,0,2,1,2,5,0,22,7,10,3,4,3,9,2,14,2,6,5,4,0,0,6,2,1,4,1,1,4,1,1
"LOC102157581",0,2,2,5,3,4,0,3,29,9,26,1,2,1,2,1,131,0,0,3,1,4,5,4,2,0,37,0,1,11,2,2
"LOC102157601",3,33,11,9,29,41,20,9,0,0,1,8,30,0,13,42,0,4,24,66,32,1,0,0,0,6,0,3,8,0,20,10
"LOC102157603",4,42,19,12,1,45,2,22,0,0,1,6,44,1,16,5,3,41,7,135,17,0,1,2,3,0,0,0,12,0,1,1
"LOC102157618",5,16,2,4,20,24,9,15,0,0,0,5,9,0,3,28,0,7,18,13,8,0,0,0,0,18,0,6,2,0,9,2
"LOC102157630",3,66,1,6,3,16,3,16,0,0,0,4,44,0,3,6,0,13,5,32,4,0,0,0,0,1,0,1,1,0,5,5
"LOC102157639",0,1,1,3,0,3,0,0,110,30,40,1,4,17,1,0,149,0,4,1,2,17,22,52,31,0,52,0,0,29,1,2
"LOC102157641",1,17,9,6,10,17,7,10,25,4,37,0,18,5,5,21,50,2,17,21,6,3,2,6,14,2,15,3,8,4,14,5
"LOC102157665",0,2,0,1,0,0,0,1,3,4,18,10,8,1,1,0,17,0,0,2,0,0,2,2,5,0,2,0,3,0,0,0
"LOC102157672",2,0,0,2,4,5,0,2,56,21,10,1,3,15,1,6,131,1,6,4,1,7,12,22,29,3,50,0,1,11,7,2
"LOC102157750",0,14,4,5,3,11,1,6,6,3,10,0,10,4,15,4,26,1,7,7,2,1,2,3,3,4,2,0,2,4,3,2
"LOC102157763",27,54,12,13,30,39,12,7,2,0,0,70,50,0,24,45,4,9,49,53,11,0,0,0,0,5,2,1,7,0,7,11
"LOC102157778",4,16,5,2,18,158,13,7,1,0,0,3,24,0,12,60,5,2,121,38,30,0,0,0,0,9,0,3,17,0,127,17
"LOC102157779",0,0,18,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,12,8,0,0,0,0,1,0,0,0,1,0,7,0
"LOC102157791",0,6,10,5,2,4,3,2,37,5,18,4,6,2,9,11,8,7,8,11,9,0,0,3,9,1,1,1,1,6,4,5
"LOC102157806",2,34,15,18,15,20,25,14,0,1,2,2,37,0,21,26,1,9,11,38,16,0,2,0,0,5,0,7,5,0,11,8
"LOC102157807",9,12,23,6,7,13,4,1,0,0,0,5,8,0,11,10,0,0,6,7,16,0,0,1,0,0,0,0,0,0,5,2
"LOC102157897",0,0,0,0,0,2,0,0,6,4,7,1,2,2,0,0,12,0,16,2,0,1,1,2,1,0,3,0,0,0,3,0
"LOC102157904",1,0,0,18,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102157933",0,6,3,1,2,4,5,2,0,0,0,0,6,0,3,17,0,5,17,7,3,0,0,1,1,4,0,0,1,0,5,0
"LOC102157940",0,0,0,0,0,0,0,0,6,3,6,0,0,1,0,0,15,0,2,3,0,0,0,1,3,0,2,0,0,0,10,0
"LOC102158002",3,0,15,37,9,20,4,0,1,0,2,8,1,1,72,5,1,0,0,14,91,1,1,0,2,1,2,0,0,0,10,51
"LOC102158035",3,0,54,30,3,4,1,1,1,1,0,1,1,1,36,2,1,0,1,4,15,0,0,0,0,0,0,0,0,1,2,7
"LOC102158087",0,7,40,9,3,7,0,1,9,8,8,0,1,3,15,1,22,1,0,2,8,0,3,6,8,0,3,1,1,6,0,8
"LOC102158101",2,2,3,2,1,0,1,0,18,8,8,0,2,5,1,1,17,1,0,0,1,0,0,3,3,0,3,0,1,0,0,0
"LOC102158108",695,8,1,0,7,19,5,2,17,24,13,542,9,6,3,44,36,1,6,12,1,0,10,8,9,3,7,2,1,10,3,2
"LOC102158125",0,2,10,23,2,7,1,0,0,0,1,1,0,0,27,1,0,2,2,7,32,0,0,0,0,0,0,0,1,0,0,15
"LOC102158190",0,4,2,1,5,7,1,1,0,0,0,0,1,0,3,7,0,1,15,16,4,0,0,0,0,0,0,0,2,0,2,1
"LOC102158192",12,1,0,2,1,0,7,0,94,29,6,10,0,1,13,13,53,2,21,7,0,4,1,9,21,2,11,3,0,36,5,0
"LOC102158193",18,22,39,27,16,12,5,10,0,0,0,3,18,0,19,13,0,1,13,33,6,0,0,0,0,4,0,1,13,0,16,11
"LOC102158261",0,2,1,0,0,0,1,0,26,4,19,0,0,1,1,0,14,0,0,0,0,1,0,3,14,0,7,0,0,11,0,0
"LOC102158332",55,141,1082,4036,284,538,69,7,2,0,3,49,30,0,8278,47,2,60,43,514,11874,0,0,3,0,0,1,1,35,0,118,6031
"LOC102158334",0,4,4,3,1,6,2,2,1,0,17,0,5,9,12,9,9,0,7,8,3,0,0,19,10,1,2,0,1,0,3,5
"LOC102158335",16295,22133,21892,24385,20043,27543,43480,26408,0,0,3,10425,20946,2,17122,20295,1,38466,12656,9368,20145,4,8,5,4,22540,0,21451,48545,1,18144,103336
"LOC102158399",1,1,14,5,24,4,12,1,2,0,7,0,5,0,7,37,4,0,1,8,11,0,0,1,1,7,0,4,2,0,2,2
"LOC102158401",272,295,162,157,120,178,145,215,3803144,3137973,4923862,316,217,6349040,89,112,4698630,193,303,237,91,6493962,4957932,5564878,4976480,160,3820309,169,409,5454574,139,646
"LOC102158411",2,3,7,19,1,12,0,0,0,1,1,1,0,0,37,2,1,1,1,9,22,0,0,1,0,0,0,0,0,0,0,9
"LOC102158443",0,40,16,6,44,16,6,15,2,1,0,3,30,0,17,61,9,11,32,37,14,0,0,0,1,17,1,5,12,0,9,5
"LOC102158467",16,56,76,54,86,84,66,43,0,0,0,30,77,0,132,215,0,31,202,131,93,0,0,0,0,32,0,29,28,0,67,50
"LOC102158547",0,0,0,0,0,0,0,0,66,25,3,0,1,22,0,0,31,0,1,1,0,1,3,4,10,0,3,0,0,15,0,0
"LOC102158553",0,11,34,4,8,20,5,10,2,0,4,1,11,1,10,12,13,4,22,28,10,0,2,3,0,5,3,1,11,0,28,17
"LOC102158569",1,11,8,4,3,2,2,1,58,42,87,0,4,51,9,1,247,4,6,8,1,7,33,49,38,0,61,0,1,12,5,2
"LOC102158609",0,0,0,0,7,1,15,5,2,0,9,0,1,4,0,24,11,1,0,1,5,0,1,0,0,2,1,22,0,1,2,14
"LOC102158612",0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"LOC102158679",0,0,3,1190,0,16,0,0,1,2,0,1,3,0,4982,0,2,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1
"LOC102158724",0,0,12,7,3,6,1,0,0,0,0,0,0,1,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102158757",1,1,4,6,26,0,1,1,0,0,0,0,0,0,19,67,0,1,9,2,7,0,0,0,0,18,0,1,0,0,7,0
"LOC102158799",2,16,10,3,8,12,10,3,0,0,0,0,15,0,10,11,0,6,6,14,15,0,0,0,0,1,0,1,2,0,2,2
"LOC102158821",1,8,0,0,2,4,0,5,0,0,0,0,10,0,3,0,0,3,14,8,0,0,0,0,0,1,0,0,5,0,6,2
"LOC102158857",1,7,9,8,12,3,18,3,25,4,42,8,16,8,15,42,45,2,18,22,9,0,3,13,10,11,9,6,4,8,7,2
"LOC102158888",0,9,7,2,15,5,8,2,0,0,0,0,5,0,1,18,0,4,20,15,1,0,0,0,0,2,0,0,3,0,11,1
"LOC102158906",1,97,24,11,34,30,11,17,9,12,19,2,60,2,26,56,22,11,43,51,27,1,3,11,11,13,10,4,10,5,16,13
"LOC102158936",1,13,5,2,2,7,3,4,1,0,0,1,6,0,1,5,1,1,1,19,4,0,0,0,0,2,1,1,2,0,1,1
"LOC102158976",0,10,5,5,1,1,1,7,13,0,0,0,13,0,6,6,0,0,1,9,10,0,0,0,1,0,0,0,6,1,4,3
"LOC102159001",2,14,2,4,8,2,2,8,4,0,2,2,11,0,13,21,0,2,13,13,0,0,0,0,0,1,0,0,1,0,2,0
"LOC102159014",25,0,0,0,2,0,0,0,33,19,5,20,0,1,0,2,15,0,1,2,0,2,3,4,4,0,4,0,0,14,0,0
"LOC102159020",0,0,0,0,0,0,0,2,19,6,14,0,1,2,0,0,2,0,0,1,0,0,4,2,0,0,0,0,0,2,0,0
"LOC102159046",1,4,2,1,0,3,0,0,13,7,21,1,4,7,2,3,47,0,2,5,0,1,3,8,11,1,16,0,1,2,1,0
"LOC102159054",2,9,9,7,12,13,7,7,24,13,35,3,10,12,17,21,32,4,6,18,1,1,8,12,15,4,7,3,3,8,11,1
"LOC102159074",0,4,0,2,23,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"LOC102159087",7,201,28,33,112,124,56,110,0,0,0,26,233,0,38,238,3,88,152,146,45,0,0,0,0,60,0,34,100,0,58,25
"LOC102159118",1,6,4,6,3,5,2,8,6,2,10,2,1,0,20,4,2,3,15,11,3,1,0,2,0,0,2,0,1,3,5,1
"LOC102159120",0,15,34,13,7,14,22,3,0,0,1,0,3,1,31,8,1,5,2,20,7,0,0,0,0,2,0,3,1,0,2,7
"LOC102159167",2,16,14,2,14,13,5,5,0,0,2,1,15,0,6,21,2,3,12,22,11,0,0,0,0,1,0,1,1,0,7,4
"LOC102159171",0,2,3,0,1,2,1,1,0,0,0,0,2,0,6,0,1,11,3,0,25,0,0,0,0,0,0,0,2,0,5,28
"LOC102159217",4,4,2,3,8,5,4,5,0,0,0,1,4,0,1,12,0,1,11,7,1,0,0,0,0,1,0,3,0,0,1,0
"LOC102159225",1,0,0,0,0,0,0,0,2,1,10,11,0,1,1,1,13,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0
"LOC102159288",2,13,18,8,13,11,3,10,7,2,7,1,20,1,16,10,19,3,6,18,14,0,0,3,4,3,8,0,9,1,6,10
"LOC102159358",5,1,0,0,0,3,0,0,172,20,18,0,5,17,1,3,18,0,1,2,0,3,25,30,33,0,2,0,0,40,2,0
"LOC102159363",5,14,10,5,15,4,3,5,9,2,10,5,9,2,2,10,14,49,2,5,7,1,6,7,7,7,5,0,4,2,2,1
"LOC102159389",1,19,5,14,19,3,4,13,0,0,0,3,21,0,19,39,2,4,12,17,0,0,0,0,0,0,0,3,7,0,3,0
"LOC102159409",0,1,3,2,5,14,2,2,0,0,0,0,4,0,0,19,0,3,10,15,3,0,0,0,1,1,0,0,1,0,13,2
"LOC102159438",0,1,0,0,0,0,7,0,18,4,0,0,0,0,8,0,0,0,12,2,0,0,0,1,14,0,0,3,0,2,3,0
"LOC102159476",6,0,0,0,1,0,0,0,0,0,0,7,0,18,2,0,5,0,234,53,1,3,0,26,56,0,0,0,0,0,50,0
"LOC102159510",8,35,36,22,68,49,23,24,0,0,0,5,25,0,26,96,0,10,31,101,37,0,0,0,0,27,0,4,18,0,22,21
"LOC102159513",0,6,3,1,1,6,1,0,0,1,0,0,5,0,0,0,2,0,20,12,0,0,0,0,0,0,0,1,2,0,2,0
"LOC102159548",0,1,1,1,0,1,0,0,11,4,12,0,0,2,0,1,2,1,4,2,0,2,1,9,4,0,4,0,0,3,1,1
"LOC102159559",0,3,3,0,15,10,6,2,2,1,4,1,3,0,3,15,5,0,7,5,2,0,1,0,0,5,1,0,1,0,7,2
"LOC102159577",0,0,0,0,0,0,0,0,11,6,4,0,0,0,0,0,10,0,0,0,0,0,9,6,2,0,1,0,0,1,0,0
"LOC102159614",0,0,0,0,0,0,0,0,4,2,15,0,0,2,2,3,17,0,5,1,2,0,5,12,4,0,4,0,0,2,0,0
"LOC102159627",0,0,0,1,2,0,0,0,2,8,23,1,0,1,2,5,17,0,0,0,1,0,1,6,3,1,6,0,0,6,0,0
"LOC102159652",2,19,2,2,7,0,1,7,5,0,2,1,14,0,16,17,0,1,6,6,0,0,0,0,1,1,0,0,1,0,2,0
"LOC102159655",37,283,1416,947,118,195,45,41,1,0,1,47,254,0,1943,161,1,84,54,181,269,1,0,1,0,39,1,24,103,0,75,196
"LOC102159681",0,0,1,1,0,5,0,0,14,49,240,0,0,9,0,0,81,0,0,0,0,2,8,16,9,0,16,0,0,5,0,0
"LOC102159687",0,24,11,6,4,7,1,1,0,0,0,0,10,0,8,5,1,3,8,4,14,0,0,0,0,0,0,0,1,0,4,1
"LOC102159768",17,61,16,12,28,37,15,15,0,0,2,13,47,0,35,52,0,17,50,54,24,0,0,0,0,5,0,2,8,0,23,14
"LOC102159780",0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,63,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0
"LOC102159783",0,1,10,1,0,1,3,0,1,1,14,0,1,1,2,0,14,0,1,0,1,1,0,2,5,0,1,1,0,1,0,1
"LOC102159784",0,6,0,0,0,1,0,5,3,0,4,0,10,1,0,1,33,0,0,1,0,0,0,1,5,0,5,0,2,2,0,0
"LOC102159820",4,46,42,16,86,341,24,40,16,18,8,0,39,2,27,163,28,128,608,231,12,1,22,5,13,19,6,0,41,5,357,7
"LOC102159828",7,24,18,21,20,12,17,28,2,1,1,12,18,1,12,35,4,8,16,16,8,0,2,2,2,1,0,6,5,0,11,8
"LOC102159834",1,8,41,7,0,2,0,0,0,0,0,4,5,0,14,3,13,3,4,8,14,0,0,0,0,0,2,1,1,0,1,1
"LOC102159960",0,1,0,2,0,2,1,0,12,8,6,0,2,1,1,2,30,1,2,2,1,45,4,2,3,1,13,0,0,3,2,1
"LOC102159965",3,11,24,9,4,29,1,4,0,3,7,4,25,2,14,9,15,6,4,12,36,2,0,6,8,1,1,1,7,0,2,23
"LOC102160003",5,8,22,7,8,13,1,0,0,0,0,7,23,0,25,3,0,18,5,53,7,0,0,0,0,2,0,2,3,0,1,1
"LOC102160006",0,0,0,56,0,0,4,9,0,0,0,0,0,0,69,0,0,4,5,11,0,0,0,0,1,0,0,0,1,0,2,0
"LOC102160096",0,8,53,10,2,10,2,5,56,17,29,1,15,21,15,4,55,2,2,9,9,5,4,28,14,1,11,0,0,18,3,8
"LOC102160165",0,13,0,1,4,1,1,4,0,0,0,0,13,0,0,0,0,2,1,12,3,0,0,0,0,3,0,1,1,0,4,2
"LOC102160169",1,2,5,5,4,7,1,2,2,0,0,2,0,0,12,9,1,0,4,10,2,0,0,0,1,3,0,1,0,0,4,2
